id,seriesSlug,volume,date,format,confirmed,source
r1,one-piece,109,2026-07-29,physical,true,publisher
r2,chainsaw-man,19,2026-07-22,physical,true,publisher
r3,kaiju-no-8,15,2026-08-05,physical,true,publisher
r4,spy-x-family,14,2026-07-31,physical,true,publisher
r5,dandadan,21,2026-08-19,physical,false,amazon
r6,sakamoto-days,18,2026-07-26,physical,true,publisher
r7,blue-box,12,2026-09-02,physical,false,amazon
r8,kagurabachi,6,2026-08-12,physical,true,publisher
r9,vinland-saga,17,2026-08-26,physical,false,amazon
r10,blue-lock,34,2026-07-30,physical,true,publisher
r11,frieren,15,2026-08-06,physical,true,publisher
r12,wind-breaker,13,2026-07-23,physical,true,publisher
r13,witch-hat-atelier,15,2026-09-09,physical,false,amazon
r14,akane-banashi,11,2026-08-20,physical,false,amazon
r15,oshi-no-ko,17,2026-08-13,physical,true,publisher
r16,made-in-abyss,14,2026-09-16,physical,false,amazon
r17,the-fable,24,2026-07-25,physical,true,publisher
r18,uzaki-chan,11,2026-08-27,physical,false,amazon
r19,mushoku-tensei,16,2026-08-04,physical,true,publisher
r20,tensei-slime,24,2026-07-28,physical,true,publisher
r21,villainess,13,2026-09-01,physical,false,amazon
r22,classroom-elite,14,2026-08-18,physical,false,amazon
r23,apothecary-diaries,12,2026-07-24,physical,true,publisher
r24,dress-up-darling,13,2026-08-11,physical,true,publisher
r25,shangri-la-frontier,14,2026-08-25,physical,false,amazon
r26,yotsuba,16,2026-09-08,physical,false,amazon
r27,uzaki-chan,14,2026-08-18,physical,true,publisher
r28,one-piece,112,2026-07-07,physical,true,publisher
r29,wind-breaker,25,2026-07-07,physical,true,publisher
r30,shangri-la-frontier,26,2026-07-07,physical,true,publisher
r31,blue-lock,32,2026-07-21,physical,true,publisher
r32,shangri-la-frontier,23,2026-07-28,physical,true,publisher
r33,tensei-slime,11,2026-08-04,physical,true,publisher
r34,wind-breaker,22,2026-08-04,physical,true,publisher
r35,blue-lock,33,2026-08-18,physical,true,publisher
r36,my-hero-academia-team-up-missions,8,2026-07-07,physical,true,publisher
r37,snow-white-with-the-red-hair,27,2026-07-07,physical,true,publisher
r38,the-king-s-beast,18,2026-07-07,physical,true,publisher
r39,yona-of-the-dawn,46,2026-07-07,physical,true,publisher
r40,case-closed,99,2026-07-14,physical,true,publisher
r41,kingdom,9,2026-07-21,physical,true,publisher
r42,moriarty-the-patriot,20,2026-07-21,physical,true,publisher
r43,record-of-ragnarok,19,2026-07-21,physical,true,publisher
r44,rooster-fighter,10,2026-07-21,physical,true,publisher
r45,jojo-s-bizarre-adventure-part-7-steel-ball-run,8,2026-07-28,physical,true,publisher
r46,giant-killing,56,2026-07-07,physical,true,publisher
r47,flying-witch,14,2026-07-07,physical,true,publisher
r48,the-seven-deadly-sins-four-knights-of-the-apocalypse,22,2026-07-07,physical,true,publisher
r49,rent-a-girlfriend,37,2026-07-07,physical,true,publisher
r50,mf-ghost,3,2026-07-07,physical,true,publisher
r51,ya-boy-kongming,24,2026-07-14,physical,true,publisher
r52,i-have-a-crush-at-work,15,2026-07-14,physical,true,publisher
r53,and-yet-you-are-so-sweet,14,2026-07-14,physical,true,publisher
r54,the-caf-terrace-and-its-goddesses,22,2026-07-14,physical,true,publisher
r55,gachiakuta,11,2026-07-21,physical,true,publisher
r56,a-couple-of-cuckoos,29,2026-07-21,physical,true,publisher
r57,cells-at-work-lady,4,2026-07-21,physical,true,publisher
r58,i-have-a-crush-at-work,5,2026-07-28,physical,true,publisher
r59,welcome-to-demon-school-iruma-kun,21,2026-08-04,physical,true,publisher
r60,giant-killing,57,2026-08-11,physical,true,publisher
r61,mf-ghost,5,2026-08-18,physical,true,publisher
r62,medalist,13,2026-08-18,physical,true,publisher
